Unnamed: 0,eventID,posX,posY,layerID,clusterSize,hitID,clusterID,cposX,cposY,posSubX,posSubY,cposSubX,cposSubY,ID,posZ
58925,2209,520.3333333333333,266.0,5,6,0,14,506.3333333333333,288.0,520.0,265.0,520.3333333333333,266.0,14,5
58931,2210,509.875,240.875,0,8,0,0,503.875,256.875,509.0,240.0,509.875,240.875,0,0
58939,2210,503.0,248.0,0,1,0,1,497.0,264.0,503.0,248.0,503.0,248.0,1,0
58942,2210,511.1111111111111,240.3333333333333,1,9,0,4,516.1111111111111,260.3333333333333,511.0,239.0,511.1111111111111,240.3333333333333,4,1
58951,2210,504.2857142857143,244.85714285714283,1,7,0,5,509.2857142857143,264.85714285714283,503.0,244.0,504.2857142857143,244.85714285714283,5,1
58960,2210,513.0,240.7142857142857,2,7,0,8,516.0,264.7142857142857,512.0,240.0,513.0,240.7142857142857,8,2
58967,2210,502.0,236.0,3,1,0,9,491.0,260.0,502.0,236.0,502.0,236.0,9,3
58968,2210,514.0,239.0,3,5,0,10,503.0,263.0,514.0,238.0,514.0,239.0,10,3
58973,2210,517.5,237.5,4,12,0,11,521.5,262.5,517.0,236.0,517.5,237.5,11,4
58987,2210,520.1666666666667,235.16666666666669,5,6,0,13,506.1666666666667,257.1666666666667,520.0,234.0,520.1666666666667,235.16666666666669,13,5
59066,2213,519.3636363636364,224.45454545454547,0,11,0,0,513.3636363636364,240.45454545454547,519.0,223.0,519.3636363636364,224.45454545454547,0,0
59181,2217,510.5,247.0,0,6,0,0,504.5,263.0,510.0,246.0,510.5,247.0,0,0
59190,2217,511.8,244.8,1,5,0,2,516.8,264.8,511.0,244.0,511.8,244.8,2,1
59196,2217,512.0,242.0,2,1,0,4,515.0,266.0,512.0,242.0,512.0,242.0,4,2
59197,2217,513.0,244.0,2,1,0,5,516.0,268.0,513.0,244.0,513.0,244.0,5,2
59198,2217,514.5,237.5,3,2,0,6,503.5,261.5,515.0,237.0,514.5,237.5,6,3
59205,2217,518.0,229.0,5,1,0,11,504.0,251.0,518.0,229.0,518.0,229.0,11,5
59212,2219,507.8888888888889,259.6666666666667,0,9,0,0,501.8888888888889,275.6666666666667,508.0,258.0,507.8888888888889,259.6666666666667,0,0
59221,2219,508.33333333333337,256.0,1,6,0,1,513.3333333333334,276.0,508.0,255.0,508.33333333333337,256.0,1,1
59229,2219,506.5,252.0,2,6,0,4,509.5,276.0,506.0,251.0,506.5,252.0,4,2
59235,2219,501.45454545454544,249.3636363636364,3,11,0,5,490.45454545454544,273.3636363636364,501.0,248.0,501.45454545454544,249.3636363636364,5,3
59246,2219,500.3333333333333,248.0,4,3,0,6,504.3333333333333,273.0,500.0,247.0,500.3333333333333,248.0,6,4
59251,2219,496.3333333333333,244.66666666666669,5,3,0,8,482.3333333333333,266.6666666666667,496.0,244.0,496.3333333333333,244.66666666666669,8,5
59254,2220,499.875,258.875,0,8,0,0,493.875,274.875,499.0,258.0,499.875,258.875,0,0
59263,2220,488.2857142857143,253.0,1,7,0,2,493.2857142857143,273.0,488.0,252.0,488.2857142857143,253.0,2,1
59270,2220,475.5,252.5,2,12,0,3,478.5,276.5,475.0,251.0,475.5,252.5,3,2
59358,2224,508.0,266.0,0,9,0,0,502.0,282.0,507.0,265.0,508.0,266.0,0,0
59367,2224,496.61538461538464,256.38461538461536,1,13,0,1,501.61538461538464,276.38461538461536,496.0,255.0,496.61538461538464,256.38461538461536,1,1
59390,2224,484.5,250.5,2,12,0,4,487.5,274.5,484.0,249.0,484.5,250.5,4,2
59402,2224,471.7,245.3,3,10,0,5,460.7,269.3,471.0,244.0,471.7,245.3,5,3
59412,2224,463.5,232.2,4,10,0,6,467.5,257.2,463.0,231.0,463.5,232.2,6,4
59424,2224,462.2,214.5,5,10,0,8,448.2,236.5,462.0,213.0,462.2,214.5,8,5
59443,2226,514.2857142857142,240.0,0,7,0,0,508.2857142857143,256.0,514.0,239.0,514.2857142857142,240.0,0,0
59450,2226,506.5,262.85714285714283,0,14,0,1,500.5,278.85714285714283,506.0,261.0,506.5,262.85714285714283,1,0
59464,2226,510.0,242.8,1,10,0,2,515.0,262.8,510.0,241.0,510.0,242.8,2,1
59474,2226,502.57142857142856,265.92857142857144,1,14,0,3,507.57142857142856,285.92857142857144,502.0,264.0,502.57142857142856,265.92857142857144,3,1
59491,2226,504.2857142857143,245.0,2,7,0,7,507.2857142857143,269.0,504.0,244.0,504.2857142857143,245.0,7,2
